JobTitle,CompanyName,Location,Date,Link,Type,Skills,Experience
Call Center Agent,Confidential,"Heliopolis, Cairo, Egypt",14 days ago,https://wuzzuf.net/jobs/p/ASN79l9YLANK-Call-Center-Agent-Cairo-Egypt?o=785&l=sp&t=sj&a=data |search-v3|navbg,Full Time, females_only  Customer Service/Support  Customer Service  Customer Support  Contact Center  Inbound  Microsoft Office  Call Center Agent  Communication Skills  Customer Care, 0 - 2 Yrs of Exp 
business developer supervisor,Professional Service - Proserv,"Maadi, Cairo, Egypt",14 days ago,https://wuzzuf.net/jobs/p/FiLIKRqJzUHe-business-developer-supervisor-Professional-Service---Proserv-Cairo-Egypt?o=786&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Business Development  Business Development  Negotiation  Recruitment  Sales  Training  Experience  Presentation  sales skills, 7 - 10 Yrs of Exp 
Executive Secretary,"Himed Egypt (Medin, Hamilton)","Cairo, Egypt",14 days ago,https://wuzzuf.net/jobs/p/z0R7bBR4SmJw-Executive-Secretary-Himed-Egypt-Medin-Hamlton-Cairo-Egypt?o=787&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Administration  Administration  MS Office  Office management  Microsoft Office  Admin  Communication Skills, 1 - 5 Yrs of Exp 
Construction Civil Engineer,International Construction Group,"Cairo, Egypt",14 days ago,https://wuzzuf.net/jobs/p/YBXmx3BlFxEj-Construction-Civil-Engineer-International-Construction-Group-Cairo-Egypt?o=788&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Engineering - Construction/Civil/Architecture  Civil Engineering  Engineering  Construction, 5 - 10 Yrs of Exp 
Administrator,HNI,"New Cairo, Cairo, Egypt",14 days ago,https://wuzzuf.net/jobs/p/Xn85x0z6goNa-Administrator-HNI-Cairo-Egypt?o=789&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Administration  Administration  Microsoft Office  excel  word  powerpoint, 1 - 3 Yrs of Exp 
Cost Accountant,Multi M Group,"khanka, Qalubia, Egypt",14 days ago,https://wuzzuf.net/jobs/p/PAKxWwh9q6z5-Cost-Accountant-Multi-M-Group-Qalubia-Egypt?o=790&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Accounting/Finance  Cost Accounting  Cost Accountant  accountant  Accounting  Cost  Finance, 3 - 5 Yrs of Exp 
General Ledger Section Head,Confidential,"6th of October, Giza, Egypt",14 days ago,https://wuzzuf.net/jobs/p/Dl97ScpxfOeN-General-Ledger-Section-Head-Giza-Egypt?o=791&l=sp&t=sj&a=data |search-v3|navbg,Full Time, males_preferred  Accounting/Finance  Commerce  ERP  Finance  excel  Accounting  Financial Management  Financial Analysis, 5 - 7 Yrs of Exp 
R&D Methodology Analyst,Al Andalous Pharmaceutical Industries,"6th of October, Giza, Egypt",14 days ago,https://wuzzuf.net/jobs/p/qtxWLTSQGl9o-RD-Methodology-Analyst-Al-Andalous-Pharmaceutical-Industries-Giza-Egypt?o=792&l=sp&t=sj&a=data |search-v3|navbg,Full Time, males_only  R&D/Science  Analyst/Research  Pharmaceutical  R&D methodology  Pharmacy  Science  Pharmaceutical  R&amp;D  Research, 1 - 3 Yrs of Exp 
Electrical sale Engineer,Confidential,"Cairo, Egypt",15 days ago,https://wuzzuf.net/jobs/p/NXhHVrvd5o7z-Electrical-sale-Engineer-Cairo-Egypt?o=793&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Engineering - Mechanical/Electrical  Electrical Engineering  Engineering  Sales  Manufacturing  Mechanical Engineering, 5 - 20 Yrs of Exp 
Costing and Stock Analysis Officer,Azadea Group,"Cairo, Egypt",15 days ago,https://wuzzuf.net/jobs/p/uaF4mSzKkqxc-Costing-and-Stock-Analysis-Officer-Azadea-Group-Cairo-Egypt?o=794&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Accounting/Finance  Financial Analysis  Finance  bugdeting  Costing  Costing Accountant  Costing for the inventory, 2 - 4 Yrs of Exp 
Operation Specialist,As-Salam International Hospital,"New Cairo, Cairo, Egypt",15 days ago,https://wuzzuf.net/jobs/p/wC8W0Ufe38pu-Operation-Specialist-As-Salam-International-Hospital-Cairo-Egypt?o=795&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Human Resources  HR  Business Administration  HR Diploma  Administration, 1 - 3 Yrs of Exp 
Senior Network & Security Admin,Seoudi Supermarket,"Sheikh Zayed, Giza, Egypt",15 days ago,https://wuzzuf.net/jobs/p/J8DCrlEDqq8q-Senior-Network-Security-Admin-Seoudi-Supermarket-Giza-Egypt?o=796&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Installation/Maintenance/Repair  IT/Software Development  Engineering - Telecom/Technology  Computer Science  CCNP  Information Technology (IT)  Network  Security  VPN  Troubleshooting, 7 - 10 Yrs of Exp 
Factory Manager,Alex Apparels for Garment Manufacturing,"Ameria, Alexandria, Egypt",15 days ago,https://wuzzuf.net/jobs/p/t09nbpt8lqaZ-Factory-Manager-Alex-Apparels-for-Garment-Manufacturing-Alexandria-Egypt?o=797&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Operations/Management  Manufacturing/Production  Fashion  Garments  Lean manufacturing  Production  Quality Management  apparels  Management  Manufacturing, 10 - 15 Yrs of Exp 
Tax Accountant,smartservice,"Sohag, Egypt",15 days ago,https://wuzzuf.net/jobs/p/7IJjEge6PtWO-Tax-Accountant-smartservice-Sohag-Egypt?o=798&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Accounting/Finance  Accounting  Analysis  Finance  Accounts  Payments  Tax Payments  Tax  income  General Ledger, 3 - 5 Yrs of Exp 
Sales Consultant,KAMF REAL ESTATE MARKETING,"Dokki, Giza, Egypt",15 days ago,https://wuzzuf.net/jobs/p/tnHFzVGJ0LBf-Sales-Consultant-KAMF-REAL-ESTATE-MARKETING-Giza-Egypt?o=799&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Administration  Sales/Retail  Real Estate  sales skills  Marketing  Sales, 1+ Yrs of Exp 
Flutter Developer,Nahr Development,"Cairo, Egypt",1 month ago,https://wuzzuf.net/jobs/p/HOV0I3fEh6BB-Flutter-Developer-Nahr-Development-Cairo-Egypt?o=800&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Engineering - Telecom/Technology  REST  RESTful APIs  flutter  Information Technology (IT)  RESTful, 3 - 5 Yrs of Exp 
Treasury Accountant,Teba United,"10th of Ramadan City, Cairo, Egypt",15 days ago,https://wuzzuf.net/jobs/p/fql9PfESwyEo-Treasury-Accountant-Teba-United-Cairo-Egypt?o=801&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Accounting/Finance  Banking  Accounting  Accounting Software  Finance  Treasury  Financial Analysis, 5 - 8 Yrs of Exp 
Accountant,Confidential,"10th of Ramadan City, Sharqia, Egypt",15 days ago,https://wuzzuf.net/jobs/p/NO0g5dvSszHA-Accountant-Sharqia-Egypt?o=802&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Accounting/Finance  Finance  Accounting  Financial Analysis  Financial Management  MS Excel  MS  excel, 1 - 2 Yrs of Exp 
HR Assistant,CosmoCare Group,"10th of Ramadan City, Sharqia, Egypt",15 days ago,https://wuzzuf.net/jobs/p/4JsLb666wJjA-HR-Assistant-CosmoCare-Group-Sharqia-Egypt?o=803&l=sp&t=sj&a=data |search-v3|navbg,Full Time, females_only  Administration  Human Resources  administrative  HR  HR Assistant, 1 - 3 Yrs of Exp 
Tendering Engineer,Delta Egypt For Lighting,"Obour City, Cairo, Egypt",15 days ago,https://wuzzuf.net/jobs/p/5Tbukc0cGAou-Tendering-Engineer-Delta-Egypt-For-Lighting-Cairo-Egypt?o=804&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Engineering - Mechanical/Electrical  AutoCAD  Communication  Communication skills  Electrical  Electrical Engineering  Electrical power  electrical power engineering  Power Engineering  Power, 1 - 2 Yrs of Exp 
Senior Site Cost Control,Confidential,"Cairo, Egypt",15 days ago,https://wuzzuf.net/jobs/p/4veLazqSD883-Senior-Site-Cost-Control-Cairo-Egypt?o=805&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Engineering - Construction/Civil/Architecture  Cost Control  Civil Engineering, 3 - 6 Yrs of Exp 
Senior Software Developer (Java),Aman,"6th of October, Giza, Egypt",15 days ago,https://wuzzuf.net/jobs/p/leNp63ODudLG-Senior-Software-Developer-Java-Aman-Giza-Egypt?o=806&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Engineering - Telecom/Technology  Software Development  CSS  XML  OOP  Spring Boot, 3 - 5 Yrs of Exp 
Senior HR Operations Specialist,Arabiat,"Abu Rawash, Giza, Egypt",15 days ago,https://wuzzuf.net/jobs/p/6dYzFyT0lgRw-Senior-HR-Operations-Specialist-Arabiat-Giza-Egypt?o=807&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Human Resources  HR  HR operations  Human Resources (HR)  Payroll  Personnel, 3 - 5 Yrs of Exp 
IT Manager,etisal for advanced industries,"6th of October, Giza, Egypt",1 month ago,https://wuzzuf.net/jobs/p/fhU5mttNKRR5-IT-Manager-etisal-for-advanced-industries-Giza-Egypt?o=808&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Project/Program Management  Engineering - Telecom/Technology  Computer Engineering  Computer Science  Information Technology (IT)  IT Manager  Manager  IT  English, 12 - 15 Yrs of Exp 
